Company Name,Product or Technology,Category,Key Innovation,Energy Efficiency Feature,Market or Performance Data,Current Stage or Status,Source
LightRail AI,Fabric OS & Neural Compute Engine (NCE),NPU / Silicon Photonics / CPO,"Software-defined NPU with photonic interconnects and TFLN direct Pockels modulation at  $100+$  GHz; uses topology-aware routing and, algorithmic provable mathematical principles.",Replaces electrons with photons for data movement; mathematical scheduling replaces heuristics to reduce GPU idle time and eliminate electrical I/O bottlenecks.,$2.5 \times$  power efficiency vs. GPU;  $233 \times$  throughput-per-watt vs. NVIDIA A100;  $70-85\%$  utilization;  $1.6$  Pbps bisection bandwidth.,Seed Round ( $\$2.8$ M– $\$5$ M);  $\$180$ M LOI pipeline; PCB fabrication phase.,1-9
Lightmatter,Passage (M1000 / L200),CPO / Photonic Interconnect,3D photonic chip-on-wafer optical interposer allowing vertical chip communication via built-in solid-state optical circuit switching.,Eliminates shoreline bandwidth limitations and copper retimers; 3D Photonic Integration at  $\sim 2.5$  pJ/bit to  $\sim 4.6$  pJ/bit.,$114$  Tbps+ interconnect data rate; supports  $1.5$  kW+ power delivery;  $8-10 \times$  faster than competitors.,"Production/Deployment; Partnered with GUC, Synopsys, and Cadence for HVM readiness.",10-18
Cerebras,Wafer-Scale Engine (WSE-3),NPU,General-purpose photonic AI accelerator using light for linear algebra; employs Wavelength Division Multiplexing (WDM).,Integrates  $44$  GB on-chip SRAM with  $21$  PB/s bandwidth to eliminate external DRAM/HBM data movement energy.,"$95-210 \times$  speedup over H100;  $3,000$  tokens/sec inference on GPT-OSS-120B;  $\sim 60\%$  system utilization.",Active production/deployment;  $\$10$ B+ infrastructure deal.,"2, 12, 19"
Lightmatter,Envise,Photonic AI Accelerator,,Optical domain calculations use  $90\%$  less energy than GPUs; processes multiple data sets simultaneously using different light colors.,Up to  $10 \times$  faster than Nvidia A100;  $8 \times$  throughput of a server blade at  $20\%$  of the power.,Shipping hardware targeting 2025/2026.,"13, 20"
Furiosa AI,RNGD chip,NPU,$5$ nm TSMC technology integrating two high-bandwidth memories with a processor via CoWoS-S interposer.,Massive on-chip SRAM (hundreds of MBs) to minimize external streaming; conservative  $1$  GHz clock to reduce power draw.,$\sim 40\%$  better performance per watt vs. standard benchmarks;  $2.5 \times$  better performance per watt vs. GPU solutions.,In mass production.,21
Furiosa AI,Warboy,NPU,Systolic array data flow architecture designed to perform large matrix multiplications without external memory access.,"Reduces memory traffic by keeping ""hot"" data on-chip; cuts data movement energy consumption.",Runs at  $150$ W vs.  $350$ W– $1000$ W for high-end GPUs.,In mass production.,21
Tsinghua University,Taichi / Taichi-II,Photonic AI Chip,Fully Forward Mode (FFM) learning and hybrid diffraction-interference architecture (shallow but broad width).,Energy efficiency of  $160$  TOPS/W; Taichi-II reported as  $1000 \times$  more energy efficient than NVIDIA H100 GPU.,$880$  trillion MACS/mm²; accelerates training by  $10 \times$ ; supports networks with billions of neurons.,Validated on benchmarks; Published in Science; Research/Debut stage.,"22, 23"
NVIDIA,Quantum-X / Spectrum-X,CPO / Network Switch,$1.6$ T Silicon Photonics CPO Chip utilizing Micro Ring Modulators (MRM) and a 3D-stacked engine.,$3.5 \times$  power savings by replacing retimed electrical links with co-packaged optics.,$200$  Gb/s per MRM;  $1.6$  Tb/s total throughput.,Availability scheduled for 2H 2025 (Quantum-X) and 2H 2026 (Spectrum-X).,"24, 25"
Broadcom,Bailly / Davisson,CPO Integration,Heterogeneous integration pathways for high-volume manufacturing of Gen 2 and Gen 3 CPO-based switches.,$65\%$  CPO power savings compared to traditional retimed optics.,$90\%$  training efficiency improvement for  $24$ K GPU clusters;  $1$ M CPO device hours without link flaps.,Gen 2 (2023); Gen 3 (2025); Gen 4 planned for 2027.,"25, 26"
TetraMem,Memristor-based Circuits,Neuromorphic AI,Analog computation using memristors to merge memory and processing (mortal computation).,Eliminates von Neumann bottleneck; operates at  $3$  orders of magnitude less power than traditional accelerators.,"Capable of storing  $1,000$  distinct analog levels/states per device.",Startup producing and selling circuits for AI inference.,27
Beijing Institute,Spiking Brain,Neuromorphic AI,"Mimics human brain neurons using integer spikes, remaining inactive until significant signals occur.",Reduces energy use by  $97\%$  by skipping approximately  $70\%$  of calculations.,$100 \times$  faster than current LLMs; successfully trained  $76$  billion parameter model.,Research Proof of Concept.,28
Innatera,Pulsar,Neuromorphic NPU,Brain-inspired processor combining Spiking Neural Network (SNN) and CNN architectures on a  $3$ mm chip.,"Consumes  $500 \times$  less energy than traditional chips; utilizes event-driven ""quiet"" periods.",$100 \times$  faster than current sensor-targeted chips.,Commercially available.,29
Lightmatter,Guide,VLSP Light Engine,Very Large Scale Photonics (VLSP) engine integrating hundreds of lasers into a single photonic chip.,"Replaces discrete ELSFP modules to overcome the ""power wall"" of manual assembly.",Powers  $51.2$  Tbps bandwidth; enables  $100$  Tbps switch in 1RU ( $4 \times$  rack space reduction).,Sampling with customers; platforms deployed for evaluation.,"14, 16"
Ayar Labs,TeraPHY™ / Optical I/O,Silicon Photonics / CPO,In-package optical I/O chiplets replacing electrical SerDes for high-performance compute clusters.,Replaces electrical I/O with high-bandwidth optical interconnects to significantly reduce power draw.,"Supports scale-up fabrics for  $100-10,000$  GPUs; 3rd generation data released Aug '25.",Active development; Data validation stage.,"25, 30"
Huawei,Kirin 970,Smartphone NPU,World's first smartphone computing platform featuring a dedicated hardware NPU.,Architected for mobile efficiency; up to  $50 \times$  more power efficient than traditional CPUs for AI tasks.,Up to  $25 \times$  performance improvement in AI tasks.,Mass Production / Released.,31
Huawei,Ternary Chip,Ternary Computing,$7$ nm process chip using transistors with two thresholds to distinguish three logic states (trits).,Consumes  $60\%$  less power and uses  $40\%$  fewer components than binary chips.,Operates  $20\%$  faster than traditional binary equivalents.,Unveiled / Breakthrough stage.,32
